path,bytes,sha256,reference_status,consumers,dimensions,provenance
ios/Nudge/Assets.xcassets/currents_father_son.imageset/currents_father_son.jpg,299900,8780ac55d79bfaaa3bb88bf84b96fe24899ec0e9d0ec67e7a16103ae0dd1a5c6,source token matches,ios/Nudge/Models/MarcusFixtures.swift; ios/Nudge/Models/PersonaFixtures.swift; web/src/sano/fixtures.ts,1536x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/currents_kidney.imageset/currents_kidney.jpg,257815,f25f0f82f062a9d47aba15e032d65de026a704bd7f706d15d5dfd0afe93ad4b2,source token matches,ios/Nudge/Models/MarcusFixtures.swift; ios/Nudge/Models/PersonaFixtures.swift; web/src/sano/fixtures.ts,1536x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/currents_salt.imageset/currents_salt.jpg,248736,4f917110b4276122bfb87d2a6da110f8e4dab681af88db56ba3dd7b7bfaf15ca,source token matches,ios/Nudge/Models/MarcusFixtures.swift; ios/Nudge/Models/PersonaFixtures.swift; web/src/sano/fixtures.ts,1536x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/currents_walk.imageset/currents_walk.jpg,275031,3878f86a27177d7122d2baed0895f09dff1174a087e942fd447e6fff09032b0e,source token matches,ios/Nudge/Models/MarcusFixtures.swift; ios/Nudge/Models/PersonaFixtures.swift; web/src/sano/fixtures.ts,1536x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/dumbbells_towel_wellness.imageset/dumbbells_towel_wellness.png,1276626,b31a77e186bc94db833edf47a9280140a6a114990f99257270a5ab61f45a02ee,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/gift_box_sprout.imageset/gift_box_sprout.png,1472050,ea7884db1ef712331a135e4e8fd3cea3cefb7061b992b250a6981977bf128c32,no static token match; dynamic/persisted references may exist,,769x707 RGBA,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/glowing_clay_orb.imageset/glowing_clay_orb.png,1419769,c83a03f8e3779a112bd14774fffc1ddf7455bb71bd466ecc776cb0c963a62c09,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/glowing_orb_in_leaves.imageset/glowing_orb_in_leaves.png,1426281,824701f303bd54a0c83c8b1b874ee29696277d554a9e51d9cc4b17dfe68a2e7f,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/grain_bowl_chicken_quinoa.imageset/grain_bowl_chicken_quinoa.png,1538805,aecf257a1459e73fa0ee64bc843ebca8ef97ff83c31ad9763f5d0d6e891ba294,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; ios/Nudge/Views/Life/LifeCatalogView.swift; ios/Nudge/Views/Log/QuickLogView.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/sano/screens/QuickLog.tsx; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/grilled_salmon_lemon_greens.imageset/grilled_salmon_lemon_greens.png,1507068,8aa8d2b6c66f9545ee5e02277823692ec2cd05f1b453cd8e2b33fefd4ed992dc,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
